Creator_ID,Creator_Name,Platform,Content_Category,Country,Followers,Total_Posts,Posting_Frequency_Per_Week,Average_Views,Average_Likes,Average_Comments,Average_Shares,Engagement_Rate_Percent,Monthly_Growth_Rate_Percent,Estimated_Monthly_Revenue_USD
CR0001,Creator_0001,YouTube,Food,Australia,27741,405,11.8,59944,2090,148,155,7.45,0.94,252.2
CR0002,Creator_0002,Facebook,Beauty,USA,51943,637,26.7,124358,2063,69,84,5.56,1.15,426.97
CR0003,Creator_0003,TikTok,Food,India,24400,811,5.4,54305,1060,81,84,4.55,-0.57,115.25
CR0004,Creator_0004,TikTok,Fitness,India,6439,791,5.4,9110,513,31,20,7.31,7.41,50.0
CR0005,Creator_0005,Instagram,Fashion,UAE,8904,127,10.5,9843,362,31,19,3.27,6.64,55.21
CR0006,Creator_0006,Instagram,Travel,Canada,69946,550,2.6,50671,1027,111,17,1.43,2.65,318.38
CR0007,Creator_0007,Instagram,Fitness,India,133431,429,6.3,165544,5073,309,212,4.36,10.83,734.12
CR0008,Creator_0008,X,Comedy,India,103940,990,29.0,121572,4883,239,130,5.98,3.18,644.38
CR0009,Creator_0009,TikTok,Comedy,India,35135,315,13.4,55341,2923,62,200,7.09,9.99,174.85
CR0010,Creator_0010,TikTok,Food,Canada,6743,837,19.3,12121,458,35,29,5.97,5.93,50.0
CR0011,Creator_0011,Instagram,Lifestyle,UAE,26707,190,22.1,65551,1401,84,94,6.64,3.13,210.0
CR0012,Creator_0012,Facebook,Gaming,India,162201,350,11.6,312984,8871,509,538,7.1,5.1,1748.75
CR0013,Creator_0013,X,Lifestyle,India,54789,512,5.3,95983,2394,91,163,4.05,1.11,292.2
CR0014,Creator_0014,Instagram,Education,India,21192,214,7.0,23389,794,50,19,4.47,6.26,97.18
CR0015,Creator_0015,Instagram,Lifestyle,Brazil,55432,31,10.1,26189,3526,417,146,7.63,5.61,291.15
CR0016,Creator_0016,Instagram,Education,India,6249,214,19.4,6280,99,5,5,2.14,7.35,50.0
CR0017,Creator_0017,Instagram,Education,UAE,12088,509,12.6,24342,560,44,30,5.74,8.58,95.12
CR0018,Creator_0018,YouTube,Travel,UK,7732,814,1.2,6425,225,21,13,3.22,5.9,50.0
CR0019,Creator_0019,YouTube,Fashion,USA,46166,900,16.2,87512,3632,344,93,7.22,0.33,424.33
CR0020,Creator_0020,Instagram,Travel,India,61158,201,27.7,98925,2479,131,41,4.76,8.76,529.02
CR0021,Creator_0021,TikTok,Education,India,22541,981,24.6,17151,920,74,68,4.82,5.55,115.28
CR0022,Creator_0022,Instagram,Fitness,UK,9858,836,24.9,9359,695,74,34,8.6,-1.13,56.12
CR0023,Creator_0023,Instagram,Comedy,UAE,26299,675,24.1,37929,598,12,12,2.43,6.58,88.52
CR0024,Creator_0024,YouTube,Education,Canada,15374,917,10.4,19656,614,39,40,5.27,6.85,132.32
CR0025,Creator_0025,YouTube,Travel,USA,10768,335,23.2,21912,446,18,33,4.4,4.25,57.32
CR0026,Creator_0026,TikTok,Fitness,India,39729,713,5.2,77163,2543,149,55,5.97,4.81,295.81
