video_id,publish_date,title,category,views,likes,comments,ctr_pct,retention_pct,watch_hours,subscribers_gained,upload_hour
VID00001,2024-01-01,Exam Preparation Guide #1,Education,3360,318,6,8.79,85.56,185.1,80,20
VID00002,2024-01-01,Weekend Vlog #2,Lifestyle,21967,1888,275,10.85,72.41,2040.7,308,12
VID00003,2024-01-01,Easy Recipes #3,Food,13058,975,153,4.39,59.55,698.5,85,19
VID00004,2024-01-01,Parents Be Like #4,Comedy,39672,4159,203,5.18,62.27,2565.3,650,20
VID00005,2024-01-01,Day In My Life #5,Lifestyle,26772,2896,292,9.16,50.04,1254.2,541,20
VID00006,2024-01-01,Cooking Tips #6,Food,41875,2595,422,8.49,62.05,2123.2,549,10
VID00007,2024-01-01,Office Comedy #7,Comedy,50363,1405,136,8.0,76.06,2022.7,282,16
VID00008,2024-01-01,Easy Recipes #8,Food,3186,243,23,6.39,77.48,396.0,12,19
VID00009,2024-01-01,Best Apps #9,Tech,10703,390,91,7.64,50.79,959.5,109,21
VID00010,2024-01-01,Game Challenge #10,Gaming,7501,631,56,9.91,76.42,717.3,70,16
VID00011,2024-01-01,Interview Preparation #11,Education,31197,2793,206,7.99,53.58,1711.6,196,18
VID00012,2024-01-02,Morning Routine #12,Lifestyle,7935,607,98,11.73,46.34,752.1,22,21
VID00013,2024-01-02,Interview Preparation #13,Education,1599,143,11,7.5,51.48,55.4,20,16
VID00014,2024-01-02,Budget Planning #14,Finance,17366,1656,50,9.0,62.57,1765.9,401,14
VID00015,2024-01-02,Office Comedy #15,Comedy,11633,958,95,5.48,70.57,845.4,116,12
VID00016,2024-01-02,Healthy Habits #16,Lifestyle,10810,886,19,6.69,58.86,409.9,114,18
VID00017,2024-01-02,Tech Hacks #17,Tech,1772,158,23,10.93,48.34,58.9,5,19
VID00018,2024-01-02,Budget Lifestyle #18,Lifestyle,92716,9758,1035,6.28,75.69,6921.4,509,19
VID00019,2024-01-02,Travel Mistakes #19,Travel,5257,157,35,11.27,79.96,573.8,126,10
VID00020,2024-01-02,Best Restaurants #20,Food,7423,422,25,8.57,65.45,299.2,106,10
VID00021,2024-01-02,Expectation vs Reality #21,Comedy,20045,638,151,6.35,45.52,1865.9,230,19
VID00022,2024-01-03,Relatable College Life #22,Comedy,23560,2113,187,7.5,55.08,970.5,243,22
VID00023,2024-01-03,Productivity Tips #23,Education,3908,348,19,5.95,51.76,228.0,63,19
VID00024,2024-01-03,Weekend Travel Vlog #24,Travel,118248,8460,749,8.39,35.26,3228.9,1069,16
VID00025,2024-01-03,Study Tips That Work #25,Education,7848,358,56,4.02,54.02,405.8,39,14
VID00026,2024-01-03,Street Food Tour #26,Food,5806,314,11,8.93,63.81,301.5,17,16
VID00027,2024-01-03,Parents Be Like #27,Comedy,2773,280,24,6.18,65.37,350.4,54,10
VID00028,2024-01-03,Funny Family Moments #28,Comedy,6553,464,61,10.92,56.85,769.2,121,21
VID00029,2024-01-03,Healthy Habits #29,Lifestyle,34386,1614,200,6.53,53.63,2182.6,750,14
VID00030,2024-01-03,Hidden Places #30,Travel,21388,2276,117,6.41,68.75,780.4,463,14
VID00031,2024-01-03,Money Mistakes #31,Finance,6521,275,87,8.27,55.55,615.2,22,20
VID00032,2024-01-03,Budget Travel Tips #32,Travel,66230,6846,167,8.21,59.54,6911.2,627,14
VID00033,2024-01-04,AI Tools #33,Tech,5274,492,8,11.31,61.55,706.8,65,19
VID00034,2024-01-04,Healthy Habits #34,Lifestyle,17701,1134,46,9.06,50.44,1366.1,173,18
VID00035,2024-01-04,Study Tips That Work #35,Education,32309,3072,208,4.64,68.33,1751.1,146,20
VID00036,2024-01-04,AI Tools #36,Tech,27326,1636,318,5.45,70.99,2127.7,494,19
VID00037,2024-01-04,Tech Hacks #37,Tech,3894,397,16,8.01,80.87,741.0,20,16
VID00038,2024-01-04,Best Apps #38,Tech,5732,164,28,8.41,52.99,553.9,62,18
VID00039,2024-01-04,Learning Strategies #39,Education,3140,134,40,3.48,74.25,146.9,31,21
VID00040,2024-01-04,Budget Lifestyle #40,Lifestyle,5782,193,63,10.89,39.15,172.6,56,16
VID00041,2024-01-04,Food Review #41,Food,2726,283,25,7.76,56.15,98.5,43,18
VID00042,2024-01-04,Study Tips That Work #42,Education,15339,1016,179,8.61,58.24,904.2,304,19
VID00043,2024-01-05,Expectation vs Reality #43,Comedy,22462,1685,297,6.24,57.37,1036.3,224,20
VID00044,2024-01-05,Exam Preparation Guide #44,Education,127555,5408,351,4.74,58.07,4002.8,1231,16
VID00045,2024-01-05,Career Tips #45,Education,4887,350,12,11.4,59.28,374.2,27,18
VID00046,2024-01-05,Career Tips #46,Education,4913,497,47,9.73,83.02,568.2,89,18
VID00047,2024-01-05,Best Places to Visit #47,Travel,10276,812,91,4.67,54.95,848.1,92,10
VID00048,2024-01-05,Game Challenge #48,Gaming,60884,5476,521,6.45,63.98,1800.7,381,6
VID00049,2024-01-05,Personal Finance Tips #49,Finance,7338,540,48,6.91,57.04,427.3,68,16
VID00050,2024-01-05,Funny Family Moments #50,Comedy,6927,191,26,6.69,51.86,274.1,53,21
VID00051,2024-01-05,Relatable College Life #51,Comedy,4783,464,5,5.38,54.43,384.2,54,22
VID00052,2024-01-05,Budget Meals #52,Food,8015,478,66,7.14,75.47,331.2,191,23
VID00053,2024-01-06,Parents Be Like #53,Comedy,4705,126,27,5.96,73.3,622.6,73,19
VID00054,2024-01-06,Budget Lifestyle #54,Lifestyle,5953,176,33,7.27,52.46,328.9,73,20
VID00055,2024-01-06,Expectation vs Reality #55,Comedy,3157,260,24,9.11,67.55,471.8,48,21
VID00056,2024-01-06,Hidden Places #56,Travel,8635,881,102,4.71,70.12,369.1,163,23
VID00057,2024-01-06,Best Restaurants #57,Food,9155,522,100,6.61,54.37,611.5,142,22
VID00058,2024-01-06,Weekend Vlog #58,Lifestyle,26051,2121,332,8.53,64.25,3119.3,445,8
VID00059,2024-01-06,Budget Lifestyle #59,Lifestyle,7842,800,50,10.7,57.54,694.3,148,20
VID00060,2024-01-06,Best Places to Visit #60,Travel,13434,763,126,4.99,64.44,1123.1,138,19
VID00061,2024-01-06,Budget Travel Tips #61,Travel,15852,650,214,8.13,48.4,1574.8,339,22
VID00062,2024-01-06,Tech Hacks #62,Tech,44516,1326,377,8.42,63.1,4726.3,178,18
VID00063,2024-01-06,AI Tools #63,Tech,23060,1216,98,6.59,60.4,1387.3,315,23
VID00064,2024-01-07,Relatable College Life #64,Comedy,29452,1688,405,5.63,58.17,2485.9,522,12
VID00065,2024-01-07,Cooking Tips #65,Food,6824,532,14,8.91,64.13,735.4,59,16
VID00066,2024-01-07,Travel Guide #66,Travel,31473,3059,193,6.13,71.94,1762.1,97,10
VID00067,2024-01-07,Productivity Tips #67,Education,1891,113,11,6.02,70.93,183.9,26,12
VID00068,2024-01-07,Food Review #68,Food,13225,1242,11,3.33,51.9,713.6,201,19
VID00069,2024-01-07,Funny Family Moments #69,Comedy,5202,294,47,9.62,70.07,582.9,120,20
VID00070,2024-01-07,Career Tips #70,Education,3411,121,18,8.9,53.72,354.6,22,19
VID00071,2024-01-07,Best Apps #71,Tech,3236,337,45,8.43,61.58,272.1,61,23
VID00072,2024-01-07,Morning Routine #72,Lifestyle,18907,799,85,6.62,66.18,752.3,165,20
VID00073,2024-01-07,Laptop Buying Guide #73,Tech,7276,681,39,6.26,70.52,191.3,57,16
VID00074,2024-01-08,Weekend Vlog #74,Lifestyle,40172,2405,254,5.15,58.56,1977.5,707,19
VID00075,2024-01-08,Learning Strategies #75,Education,62155,4461,202,8.92,42.68,3674.6,293,21
VID00076,2024-01-08,Best Places to Visit #76,Travel,6089,487,41,5.35,78.42,573.1,79,20
VID00077,2024-01-08,Relatable College Life #77,Comedy,12280,666,109,4.8,63.03,793.2,160,22
VID00078,2024-01-08,Best Friend Problems #78,Comedy,708,30,6,5.69,67.68,33.3,16,22
VID00079,2024-01-08,Credit Score Tips #79,Finance,14307,1244,12,11.64,62.79,1103.4,78,21
VID00080,2024-01-08,Top Games #80,Gaming,19050,802,132,6.14,66.69,1798.6,82,20
VID00081,2024-01-08,Interview Preparation #81,Education,5997,439,71,9.44,74.31,314.5,49,16
VID00082,2024-01-08,Saving Money #82,Finance,5581,171,29,9.09,60.2,172.3,62,6
VID00083,2024-01-08,Best Settings #83,Gaming,4953,388,23,7.85,54.58,407.2,49,20
VID00084,2024-01-08,Cooking Tips #84,Food,8968,470,8,10.07,45.43,254.9,91,22
VID00085,2024-01-09,Study Tips That Work #85,Education,18816,707,106,6.84,57.33,967.0,374,16
VID00086,2024-01-09,Office Comedy #86,Comedy,11458,549,156,4.0,61.11,321.1,209,23
VID00087,2024-01-09,Study Tips That Work #87,Education,5286,283,62,4.99,52.78,152.9,39,14
VID00088,2024-01-09,Budget Planning #88,Finance,15798,477,27,4.84,79.96,1603.2,353,16
VID00089,2024-01-09,Saving Money #89,Finance,23849,2317,294,7.45,78.92,2111.6,168,20
VID00090,2024-01-09,Office Comedy #90,Comedy,4503,261,31,6.09,64.72,480.5,40,19
VID00091,2024-01-09,Phone Features You Missed #91,Tech,13050,1121,61,7.69,60.86,1096.5,184,14
VID00092,2024-01-09,Best Restaurants #92,Food,7590,782,50,6.43,69.08,686.0,153,18
VID00093,2024-01-09,Game Challenge #93,Gaming,35051,964,34,7.76,58.06,2029.3,670,18
VID00094,2024-01-09,Best Friend Problems #94,Comedy,35822,2691,377,11.16,79.08,4928.3,111,12
VID00095,2024-01-10,Budget Travel Tips #95,Travel,4290,448,20,8.98,89.53,655.0,39,8
VID00096,2024-01-10,Cooking Tips #96,Food,9187,370,69,8.13,58.13,715.0,85,18
VID00097,2024-01-10,Food Review #97,Food,9056,696,118,7.53,52.53,887.3,171,21
VID00098,2024-01-10,Weekend Travel Vlog #98,Travel,103564,4994,436,6.49,54.53,8824.6,447,16
VID00099,2024-01-10,Budget Planning #99,Finance,7177,471,61,4.93,46.19,600.9,26,14
VID00100,2024-01-10,Interview Preparation #100,Education,37660,3834,99,6.53,69.29,4060.6,542,19
VID00101,2024-01-10,Cooking Tips #101,Food,2585,202,17,5.33,76.83,386.9,40,14
VID00102,2024-01-10,Interview Preparation #102,Education,18732,1052,171,9.34,61.83,580.0,226,19
VID00103,2024-01-10,Best Restaurants #103,Food,59921,2028,191,8.26,48.92,4228.9,1154,14
